time	W	usage_c0	usage_c1	usage_c2	usage_c3	usage_c4	usage_c5	usage_c6	usage_c7	temp4	temp5	temp6	temp7
1676232129.638821	5.157	0.095	0.0	0.0	0.0	0.0	0.0	1.0	0.15	40.0	46.0	58.0	40.0	
1676232129.8391094	5.157	0.0	0.0	0.0	0.048	0.0	0.048	1.0	0.0	39.0	45.0	58.0	39.0	
1676232130.039387	5.157	0.05	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232130.239674	5.157	0.05	0.0	0.0	0.05	0.0	0.05	1.0	0.0	39.0	45.0	57.0	39.0	
1676232130.4399586	5.157	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	57.0	40.0	
1676232130.6402478	5.16	0.095	0.0	0.0	0.048	0.048	0.0	1.0	0.0	39.0	46.0	57.0	40.0	
1676232130.8405442	5.16	0.0	0.0	0.0	0.0	0.0	0.048	1.0	0.0	39.0	45.0	57.0	39.0	
1676232131.0408328	5.16	0.048	0.0	0.0	0.0	0.0	0.048	1.0	0.105	40.0	46.0	58.0	41.0	
1676232131.2411213	5.16	0.05	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	58.0	40.0	
1676232131.4414122	5.16	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	58.0	40.0	
1676232131.6417208	5.179	0.048	0.05	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	58.0	39.0	
1676232131.8420134	5.179	0.053	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	58.0	39.0	
1676232132.0423172	5.179	0.048	0.0	0.0	0.0	0.05	0.0	1.0	0.0	39.0	46.0	57.0	39.0	
1676232132.2426116	5.179	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	58.0	39.0	
1676232132.4429026	5.179	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	58.0	40.0	
1676232132.6432064	5.126	0.1	0.0	0.0	0.0	0.05	0.05	1.0	0.105	40.0	45.0	58.0	40.0	
1676232132.8435063	5.126	0.05	0.0	0.0	0.05	0.0	0.05	1.0	0.0	39.0	45.0	58.0	39.0	
1676232133.0437942	5.126	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	40.0	45.0	58.0	39.0	
1676232133.2440898	5.126	0.05	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	46.0	58.0	40.0	
1676232133.444387	5.126	0.05	0.0	0.0	0.048	0.0	0.05	1.0	0.0	39.0	45.0	58.0	40.0	
1676232133.6446874	5.176	0.05	0.0	0.0	0.05	0.0	0.0	1.0	0.0	39.0	46.0	58.0	40.0	
1676232133.8449824	5.176	0.05	0.0	0.0	0.0	0.0	0.048	1.0	0.0	39.0	45.0	58.0	40.0	
1676232134.0452688	5.176	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	58.0	40.0	
1676232134.2455654	5.176	0.05	0.048	0.0	0.0	0.0	0.0	1.0	0.1	39.0	46.0	58.0	40.0	
1676232134.445856	5.176	0.048	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	46.0	58.0	40.0	
1676232134.64615	5.118	0.05	0.0	0.0	0.0	0.05	0.0	1.0	0.0	40.0	45.0	58.0	40.0	
1676232134.8464494	5.118	0.0	0.0	0.0	0.048	0.0	0.0	1.0	0.0	39.0	45.0	58.0	40.0	
1676232135.0467403	5.118	0.05	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	58.0	40.0	
1676232135.2470365	5.118	0.05	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	58.0	40.0	
1676232135.4473267	5.118	0.0	0.0	0.0	0.05	0.0	0.048	1.0	0.05	39.0	45.0	58.0	40.0	
1676232135.6476283	5.187	0.095	0.0	0.0	0.0	0.0	0.0	1.0	0.15	40.0	46.0	58.0	40.0	
1676232135.8479142	5.187	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	46.0	58.0	40.0	
1676232136.0482054	5.187	0.091	0.0	0.0	0.0	0.0	0.048	1.0	0.0	40.0	45.0	58.0	40.0	
1676232136.2484994	5.187	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	46.0	58.0	39.0	
1676232136.4487877	5.187	0.0	0.0	0.0	0.0	0.0	0.048	1.0	0.0	39.0	45.0	58.0	40.0	
1676232136.6490889	5.187	0.05	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	58.0	40.0	
1676232136.849387	5.187	0.048	0.048	0.0	0.0	0.0	0.0	1.0	0.0	40.0	46.0	58.0	40.0	
1676232137.0496886	5.187	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	58.0	40.0	
1676232137.249986	5.187	0.05	0.0	0.0	0.0	0.0	0.0	1.0	0.1	39.0	46.0	58.0	40.0	
1676232137.4502892	5.187	0.05	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	46.0	58.0	40.0	
