time	W	usage_c0	usage_c1	usage_c2	usage_c3	usage_c4	usage_c5	usage_c6	usage_c7	temp4	temp5	temp6	temp7
1676265071.7868598	5.779	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.048	55.0	44.0	43.0	39.0	
1676265071.9871392	6.027	0.1	0.0	0.0	0.0	1.0	0.0	0.05	0.0	55.0	44.0	43.0	39.0	
1676265072.1874053	6.027	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	55.0	44.0	43.0	39.0	
1676265072.38769	6.027	0.05	0.048	0.0	0.0	1.0	0.0	0.0	0.05	55.0	44.0	43.0	39.0	
1676265072.587969	6.027	0.05	0.0	0.0	0.0	1.0	0.14300000000000002	0.0	0.0	55.0	44.0	43.0	39.0	
1676265072.7882414	6.031	0.05	0.0	0.0	0.0	1.0	0.0	0.0	0.095	55.0	44.0	43.0	39.0	
1676265072.9885523	6.031	0.1	0.0	0.0	0.0	1.0	0.105	0.05	0.0	55.0	47.0	43.0	40.0	
1676265073.188825	6.031	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.048	56.0	44.0	43.0	40.0	
1676265073.3891134	6.031	0.105	0.0	0.0	0.0	1.0	0.0	0.0	0.0	56.0	44.0	43.0	40.0	
1676265073.589387	6.031	0.095	0.0	0.0	0.0	1.0	0.0	0.0	0.0	56.0	44.0	43.0	40.0	
1676265073.7896552	6.031	0.05	0.0	0.0	0.0	1.0	0.0	0.0	0.0	56.0	45.0	43.0	40.0	
1676265073.9899416	5.855	0.05	0.0	0.0	0.0	1.0	0.0	0.0	0.0	56.0	45.0	43.0	40.0	
1676265074.1902244	5.855	0.05	0.0	0.0	0.0	1.0	0.14300000000000002	0.0	0.0	56.0	45.0	44.0	40.0	
1676265074.3905141	5.855	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.05	56.0	45.0	43.0	40.0	
1676265074.5907984	5.855	0.095	0.0	0.0	0.0	1.0	0.1	0.0	0.0	56.0	45.0	44.0	40.0	
1676265074.7910707	5.855	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	56.0	45.0	44.0	40.0	
1676265074.9913566	5.855	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.05	56.0	45.0	44.0	40.0	
1676265075.1916184	6.004	0.095	0.0	0.0	0.0	1.0	0.0	0.0	0.0	56.0	45.0	44.0	40.0	
1676265075.3918986	6.004	0.0	0.048	0.0	0.0	1.0	0.048	0.048	0.048	56.0	45.0	44.0	40.0	
1676265075.5921772	6.004	0.095	0.0	0.0	0.0	1.0	0.105	0.0	0.0	56.0	45.0	44.0	40.0	
1676265075.7924423	6.004	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.048	56.0	45.0	44.0	40.0	
1676265075.9927146	6.004	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.048	56.0	45.0	44.0	40.0	
1676265076.193043	5.989	0.095	0.0	0.0	0.0	1.0	0.15	0.048	0.0	57.0	45.0	44.0	40.0	
1676265076.3933334	5.989	0.0	0.0	0.0	0.0	1.0	0.048	0.0	0.0	56.0	45.0	44.0	40.0	
1676265076.5936153	5.989	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	56.0	45.0	44.0	40.0	
1676265076.7938857	5.79	0.05	0.0	0.0	0.0	1.0	0.0	0.0	0.0	56.0	45.0	44.0	40.0	
1676265076.9941657	5.79	0.053	0.0	0.0	0.0	1.0	0.0	0.0	0.0	56.0	45.0	44.0	40.0	
1676265077.1944475	5.79	0.05	0.0	0.0	0.0	1.0	0.1	0.0	0.0	57.0	45.0	44.0	40.0	
1676265077.3947334	5.79	0.05	0.0	0.0	0.0	1.0	0.0	0.0	0.0	57.0	45.0	44.0	40.0	
1676265077.5950146	5.79	0.048	0.0	0.0	0.0	1.0	0.105	0.0	0.0	56.0	46.0	44.0	41.0	
1676265077.7952785	5.79	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.05	57.0	45.0	44.0	40.0	
1676265077.9955566	6.038	0.095	0.0	0.0	0.0	1.0	0.0	0.0	0.0	57.0	45.0	44.0	40.0	
1676265078.1958177	6.038	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.048	57.0	45.0	44.0	40.0	
1676265078.3961	6.038	0.05	0.048	0.0	0.0	1.0	0.048	0.048	0.05	57.0	45.0	44.0	41.0	
1676265078.5963824	6.038	0.048	0.0	0.0	0.0	1.0	0.15	0.0	0.0	56.0	47.0	44.0	41.0	
1676265078.7966456	6.038	0.05	0.0	0.0	0.0	1.0	0.048	0.0	0.048	57.0	45.0	44.0	41.0	
1676265078.9969196	5.985	0.1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	57.0	45.0	44.0	41.0	
1676265079.1972	5.985	0.0	0.0	0.0	0.0	1.0	0.1	0.048	0.0	57.0	45.0	44.0	41.0	
1676265079.3974807	5.985	0.0	0.0	0.0	0.0	1.0	0.0	0.05	0.0	57.0	45.0	44.0	41.0	
1676265079.5977483	5.985	0.095	0.0	0.0	0.0	1.0	0.05	0.0	0.0	57.0	45.0	44.0	41.0	
1676265079.79801	5.985	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	57.0	45.0	44.0	41.0	
1676265079.998289	5.962	0.053	0.0	0.0	0.0	1.0	0.0	0.0	0.0	57.0	45.0	44.0	40.0	
1676265080.1985695	5.962	0.048	0.048	0.0	0.0	1.0	0.105	0.0	0.0	57.0	46.0	44.0	41.0	
1676265080.3988643	5.962	0.053	0.0	0.0	0.0	1.0	0.0	0.0	0.05	57.0	45.0	44.0	41.0	
1676265080.599156	5.962	0.0	0.0	0.0	0.0	1.0	0.05	0.0	0.05	56.0	46.0	44.0	41.0	
1676265080.7994273	6.034	0.095	0.0	0.0	0.0	1.0	0.05	0.0	0.0	57.0	45.0	45.0	41.0	
1676265080.9997077	6.034	0.05	0.0	0.0	0.0	1.0	0.0	0.0	0.0	57.0	45.0	44.0	41.0	
1676265081.199977	6.034	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.048	57.0	45.0	44.0	41.0	
1676265081.400254	6.034	0.05	0.0	0.0	0.0	1.0	0.048	0.048	0.0	57.0	45.0	45.0	41.0	
1676265081.6005216	6.034	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	57.0	45.0	44.0	41.0	
1676265081.8008049	6.054	0.053	0.0	0.0	0.0	1.0	0.14300000000000002	0.0	0.091	57.0	46.0	45.0	41.0	
1676265082.001088	6.054	0.095	0.0	0.0	0.0	1.0	0.0	0.0	0.0	57.0	45.0	44.0	41.0	
1676265082.201377	6.054	0.0	0.0	0.0	0.0	1.0	0.055999999999999994	0.0	0.0	57.0	46.0	45.0	41.0	
1676265082.4016693	6.054	0.05	0.0	0.0	0.0	1.0	0.0	0.05	0.0	57.0	46.0	45.0	41.0	
1676265082.601942	6.054	0.048	0.0	0.0	0.0	1.0	0.0	0.0	0.0	57.0	45.0	45.0	41.0	
1676265082.8022206	6.054	0.053	0.0	0.0	0.0	1.0	0.0	0.0	0.0	57.0	46.0	44.0	41.0	
1676265083.002497	5.931	0.05	0.0	0.0	0.0	1.0	0.0	0.0	0.0	57.0	45.0	44.0	41.0	
1676265083.2027755	5.931	0.05	0.0	0.0	0.0	1.0	0.14300000000000002	0.048	0.0	57.0	46.0	45.0	41.0	
1676265083.4030592	5.931	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.048	57.0	46.0	44.0	41.0	
1676265083.6033244	5.931	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	57.0	46.0	45.0	41.0	
1676265083.8036137	5.931	0.095	0.0	0.0	0.0	1.0	0.105	0.0	0.0	57.0	46.0	45.0	41.0	
1676265084.003898	5.962	0.05	0.048	0.0	0.0	1.0	0.0	0.0	0.0	57.0	46.0	45.0	41.0	
