time	W	usage_c0	usage_c1	usage_c2	usage_c3	usage_c4	usage_c5	usage_c6	usage_c7	temp4	temp5	temp6	temp7
1676254071.8813558	11.328	0.2	0.055999999999999994	0.15	0.053	0.909	0.955	0.8640000000000001	0.81	64.0	70.0	71.0	59.0	
1676254072.0818586	11.328	0.05	0.0	0.0	0.053	0.9470000000000001	1.0	0.95	0.9470000000000001	64.0	71.0	72.0	60.0	
1676254072.282344	11.328	0.158	0.053	0.05	0.15	0.9	1.0	0.9	0.9	64.0	71.0	72.0	60.0	
1676254072.4828296	11.328	0.053	0.0	0.1	0.158	0.955	1.0	0.95	0.95	64.0	71.0	72.0	60.0	
1676254072.6832993	11.328	0.25	0.053	0.05	0.1	0.9	1.0	0.895	0.905	64.0	71.0	72.0	60.0	
1676254072.8838103	11.481	0.222	0.048	0.0	0.15	0.905	1.0	0.9520000000000001	0.95	65.0	71.0	72.0	60.0	
1676254073.08431	11.481	0.14300000000000002	0.053	0.05	0.19	0.895	1.0	0.857	0.85	64.0	71.0	71.0	59.0	
1676254073.284809	11.481	0.278	0.19	0.053	0.15	0.95	1.0	0.895	0.9	64.0	70.0	70.0	59.0	
1676254073.4852462	11.481	0.16699999999999998	0.0	0.053	0.105	1.0	0.95	0.95	0.95	65.0	71.0	72.0	60.0	
1676254073.6857338	11.481	0.21100000000000002	0.0	0.0	0.105	1.0	0.9	0.857	0.9	65.0	71.0	72.0	60.0	
1676254073.8862302	11.378	0.33299999999999996	0.05	0.048	0.14300000000000002	1.0	0.95	0.95	0.9520000000000001	65.0	71.0	72.0	60.0	
1676254074.0867152	11.378	0.1	0.0	0.1	0.105	1.0	0.857	0.9	0.85	65.0	71.0	72.0	60.0	
1676254074.2872167	11.378	0.059000000000000004	0.0	0.053	0.14300000000000002	1.0	0.95	0.9470000000000001	0.95	65.0	71.0	72.0	60.0	
1676254074.487712	11.378	0.1	0.0	0.1	0.19	0.95	0.895	0.895	0.895	65.0	71.0	72.0	60.0	
1676254074.6881907	11.378	0.15	0.0	0.0	0.19	1.0	0.9470000000000001	0.95	0.95	65.0	71.0	72.0	60.0	
1676254074.8886793	11.687	0.11800000000000001	0.053	0.0	0.1	1.0	0.95	0.9	0.9470000000000001	65.0	71.0	72.0	61.0	
1676254075.0891738	11.687	0.14300000000000002	0.053	0.0	0.105	1.0	0.85	0.8420000000000001	0.9	65.0	71.0	72.0	61.0	
1676254075.2896407	11.687	0.158	0.05	0.048	0.105	1.0	0.9520000000000001	0.9520000000000001	0.9520000000000001	66.0	72.0	73.0	61.0	
1676254075.4901168	11.687	0.062	0.0	0.053	0.19	1.0	0.895	0.9	0.857	66.0	71.0	73.0	61.0	
1676254075.6905966	11.687	0.25	0.1	0.0	0.1	1.0	0.95	0.95	0.95	66.0	72.0	73.0	61.0	
